[ 2025-06-13 12:23:31,002 ] 61 RERAScrapper - INFO - Browser initialized successfully.
[ 2025-06-13 12:23:42,924 ] 69 RERAScrapper - INFO - Navigated to URL: https://rera.karnataka.gov.in/viewAllProjects
[ 2025-06-13 12:23:43,121 ] 82 RERAScrapper - INFO - City 'Vijayapura' selected from dropdown.
[ 2025-06-13 12:24:09,769 ] 100 RERAScrapper - INFO - Home table JSON extracted: home_table_json
[ 2025-06-13 12:24:12,878 ] 122 RERAScrapper - INFO - Promoter Details 'promoter_details' scrapped.
[ 2025-06-13 12:24:12,878 ] 123 RERAScrapper - INFO - Authorized Signatory Detail 'authorized_signatory_details' scrapped.
[ 2025-06-13 12:24:12,878 ] 124 RERAScrapper - INFO - Project Member Details 'project_member_details' scrapped.
[ 2025-06-13 12:24:12,879 ] 125 RERAScrapper - INFO - Project Land Owner Details 'project_land_owner_details' scrapped.
[ 2025-06-13 12:24:12,879 ] 126 RERAScrapper - INFO - RERA Registration Details with any other State/UTs 'rera_registration_details_with_any_details' scrapped.
[ 2025-06-13 12:24:12,879 ] 127 RERAScrapper - INFO - Previous Project Details (Last 5 years only) 'previous_project_details' scrapped.
[ 2025-06-13 12:24:14,933 ] 135 RERAScrapper - INFO - Project Details page clicked.
[ 2025-06-13 12:24:16,404 ] 146 RERAScrapper - INFO - Project Details 'project_details' scrapped.
[ 2025-06-13 12:24:16,404 ] 147 RERAScrapper - INFO - Development Details 'development_details' scrapped.
[ 2025-06-13 12:24:16,404 ] 148 RERAScrapper - INFO - External Development Work 'external_development_work' scrapped.
[ 2025-06-13 12:24:16,404 ] 149 RERAScrapper - INFO - Other External Development Work 'other_external_development_work' scrapped.
[ 2025-06-13 12:24:16,404 ] 150 RERAScrapper - INFO - Project Bank ( Escrow Account ) Details 'project_bank_details' scrapped.
[ 2025-06-13 12:24:16,404 ] 151 RERAScrapper - INFO - Project Agents 'project_agents' scrapped.
[ 2025-06-13 12:24:16,404 ] 152 RERAScrapper - INFO - Project Detail Table '{
    "stage": "At the time of Registration",
    "start_date": "09-08-2014",
    "end_date": "31-07-2018",
    "certificate_link": "/certificate?CER_NO=PRM/KA/RERA/1275/448/PR/171125/000175"
}' scrapped.
[ 2025-06-13 12:24:16,441 ] 158 RERAScrapper - INFO - Uploaded Documents page clicked.
